Etablissement;Filière de formation;Filière de formation très détaillée;Capacité de l’établissement par formation;Dont effectif des admis néo bacheliers sans information sur la mention au bac;Dont effectif des admis néo bacheliers sans mention au bac;Dont effectif des admis néo bacheliers avec mention Assez Bien au bac;Dont effectif des admis néo bacheliers avec mention Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien avec félicitations au bac;% d’admis néo bacheliers sans information sur la mention au bac;% d’admis néo bacheliers sans mention au bac;% d’admis néo bacheliers avec mention Assez Bien au bac;% d’admis néo bacheliers avec mention Bien au bac;% d’admis néo bacheliers avec mention Très Bien au bac;% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Effectif total des candidats pour une formation
Lycée Theodore Aubanel;BTS - Services - Support à l'action managériale;;36;0;14;8;4;2;0;0;50;29;14;7;0;36;502
ICAM Grand Paris Sud;Formation d'ingénieur Bac + 5;;36;0;3;4;2;1;0;0;30;40;20;10;0;11;492
Université Jean Moulin Lyon 3;Licence - Portail Langues, Littératures et Civilisations Etrangères et Régionales Allemand;Langues, Littératures et Civilisations Etrangères et Régionales Allemand;36;0;1;4;0;0;0;0;20;80;0;0;0;16;99
IFSI CH d'Arles;D.E Infirmier;;36;0;4;6;2;0;0;0;33;50;17;0;0;36;6376
INST. FORM. SOINS INFIRMIERS CENTRE HOSPITALIER PONTARLIER;D.E Infirmier;;36;0;1;9;10;2;0;0;5;41;45;9;0;35;1879
Lycée Choiseul;BTS - Services - Support à l'action managériale;;36;0;10;10;4;0;0;0;42;42;17;0;0;33;618
CESI Campus d'Arras;Formation d'ingénieur Bac + 5 - Cycle Préparatoire Intégré - Spécialité Généraliste, BTP, Informatique, Systèmes embarqués;Cycle Préparatoire Intégré - Spécialité Généraliste, BTP, Informatique, Systèmes embarqués;36;0;2;19;7;2;0;0;7;63;23;7;0;30;738
Université Angers;Double licence - Langues, littératures & civilisations étrangères et régionales / Langues, littératures & civilisations étrangères et régionales - Double licence Allemand - Anglais;Double licence Allemand - Anglais;36;0;2;2;2;0;0;0;33;33;33;0;0;8;87
IPAG Business School - Campus de Nice;BTS - Services - Commerce International;;36;0;10;6;5;0;0;0;48;29;24;0;0;32;177
Lycée Théophile Gautier;CPGE - PCSI;;36;0;5;9;7;1;0;0;23;41;32;5;0;24;945
Lycée Aristide Maillol;BTS - Services - Communication;;36;0;5;14;5;0;0;0;21;58;21;0;0;29;1213
Université Jean Moulin Lyon 3;Licence - Portail Langues Etrangères Appliquées Anglais-Arabe - Cursus 4 ans;Langues Etrangères Appliquées Anglais-Arabe - Cursus 4 ans;36;0;14;7;7;0;0;0;50;25;25;0;0;35;167
Lycée Louis Pergaud;Diplôme de Comptabilité et de Gestion;;36;0;5;8;8;2;0;0;22;35;35;9;0;28;415
Lycée Louis Pergaud;CPGE - ENS Cachan D2;;36;0;3;5;11;1;0;0;15;25;55;5;0;23;296
Université Toulouse 3 Paul Sabatier;Licence - Portail Informatique;;36;0;9;0;0;1;0;0;90;0;0;10;0;32;396
Lycée du Granier;BTS - Services - Comptabilité et gestion (Seconde année possible en apprentissage);;36;0;9;5;3;1;0;0;50;28;17;6;0;20;754
Lycée Jean Perrin;CPGE - TSI;;36;0;3;2;12;1;0;0;17;11;67;6;0;20;241
I.U.T de Toulon;BUT - Génie industriel et maintenance;;36;0;9;9;1;0;0;0;47;47;5;0;0;25;411
IFMEM;D.E manipulateur/trice en électroradiologie médicale;;36;0;9;3;0;1;0;0;69;23;0;8;0;36;859
Lycée St Joseph Pierre Rouge;Formation d'ingénieur Bac + 5 - Bacs généraux - 2 Sciences;Bacs généraux - 2 Sciences;36;0;3;4;3;0;0;0;30;40;30;0;0;10;1419
Université de Rouen Normandie - Campus Pasteur Rouen;Double licence - Economie / Mathématiques - Double licence - Economie - Mathématiques;Double licence - Economie - Mathématiques;36;0;0;2;3;1;0;0;0;33;50;17;0;6;346
Lycée polyvalent privé La Salle;Diplôme de Comptabilité et de Gestion;;36;0;6;11;5;1;1;0;25;46;21;4;4;28;228
Lycée Stanislas;CPGE - B/L - Lettres et sciences sociales;;36;0;1;2;14;13;3;0;3;6;42;39;9;33;462
Lycée Sevigne;BTS - Services - Support à l'action managériale;;36;0;12;3;1;1;0;0;71;18;6;6;0;22;1019
Université Toulouse 3 Paul Sabatier;Licence - Portail Mathématiques;;36;0;2;4;8;3;0;0;12;24;47;18;0;29;814
Nantes Université;CUPGE - Parcours scientifique renforcé;;36;0;0;4;10;10;1;0;0;16;40;40;4;27;513
Lycée Hugues Libergier;BTS - Services - Support à l'action managériale;;36;0;10;8;2;0;0;0;50;40;10;0;0;27;343
Lycée Franklin Roosevelt;BTS - Services - Comptabilité et gestion;;36;0;19;8;3;0;0;0;63;27;10;0;0;32;636
Lycée Maurice Marland;BTS - Services - Management en hôtellerie restauration;;36;0;4;11;5;3;0;0;17;48;22;13;0;24;193
Lycée Catholique St Charles;BTS - Services - Commerce International;;36;0;7;11;4;1;0;0;30;48;17;4;0;35;235
Lycée Voltaire;BTS - Services - Négociation et digitalisation de la Relation Client;;36;0;7;12;3;1;0;0;30;52;13;4;0;35;1503
IPAG Business School - Campus de Nice;BTS - Services - Gestion de la PME;;36;0;4;1;0;0;0;0;80;20;0;0;0;6;52
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Portail Psychologie;;36;0;2;18;10;0;1;0;6;58;32;0;3;36;1648
Lycée Les Lombards;BTS - Production - Systèmes numériques - Option informatique et réseaux;;36;0;8;7;1;0;0;0;50;44;6;0;0;20;886
Lycée Marguerite Yourcenar;BTS - Services - Management en hôtellerie restauration;;36;0;10;9;7;2;1;0;34;31;24;7;3;34;139
Lycée Jan Lavezzari;BTS - Services - Tourisme;;36;0;10;3;5;0;0;0;56;17;28;0;0;25;753
Lycée Largente;BTS - Services - Comptabilité et gestion;;36;0;3;8;1;0;0;0;25;67;8;0;0;21;184
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Diplôme d'Université - DU Parcours Pour la Réussite;DU Parcours Pour la Réussite;36;0;12;3;0;0;0;0;80;20;0;0;0;19;93
Lycée St Michel;BTS - Services - Tourisme;;36;0;13;4;4;1;0;0;59;18;18;5;0;34;264
Lycée Monge;BTS - Services - Comptabilité et gestion;;36;0;8;7;3;1;0;0;42;37;16;5;0;30;199
Lycée Monge;BTS - Services - Négociation et digitalisation de la Relation Client;;36;0;15;8;0;0;0;0;65;35;0;0;0;27;331
Lycée professionnel Simone Veil;BTS - Services - Management Commercial Opérationnel;;36;0;11;3;7;0;0;0;52;14;33;0;0;24;265
Lycée Sevigne;BTS - Services - Communication;;36;0;14;7;4;0;0;0;56;28;16;0;0;33;1201
Université du littoral - Site de Boulogne-sur-Mer;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Espagnol;Espagnol;36;0;3;6;6;0;0;0;20;40;40;0;0;19;122
I.U.T. d'Avignon;BUT - Génie biologique Parcours agronomie;;36;0;5;8;10;3;0;0;19;31;38;12;0;35;964
Lycée Jesse De Forest;BTS - Services - Management en hôtellerie restauration;;36;0;5;7;6;1;0;0;26;37;32;5;0;29;98
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Sociologie - Parcours Prépa IEP Sciencespo (Val De Seine);Prépa IEP Sciencespo (Val De Seine);36;0;2;12;13;3;0;0;7;40;43;10;0;31;336
Université Amiens UFR médecine;Certificat de capacité d'Orthophoniste;;36;0;0;0;8;6;3;0;0;0;47;35;18;36;1614
Lycée Jean Baptiste Corot;BTS - Services - Négociation et digitalisation de la Relation Client;;36;0;6;17;12;1;0;0;17;47;33;3;0;38;1395
Lycée Jean Perrin;CPGE - ECT - Option technologique;;36;0;7;10;9;1;0;0;26;37;33;4;0;28;258
Université Grenoble Alpes;Double licence - Droit / Langues étrangères appliquées - Double Licence : Droit-Langues Option Droit administration et politique internationales;Double Licence : Droit-Langues Option Droit administration et politique internationales;36;0;0;3;15;16;0;0;0;9;44;47;0;36;817
Institut d'Hazebrouck;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;;36;0;10;3;4;0;0;0;59;18;24;0;0;19;120
Lycée Stanislas;CPGE - PCSI;;36;0;0;5;19;7;0;0;0;16;61;23;0;32;582
Université de Limoges;Licence - Physique, chimie - Parcours Sciences Exactes et Appliquées;Sciences Exactes et Appliquées;36;0;1;3;1;0;0;0;20;60;20;0;0;13;397
CESI Campus de Lille;Formation d'ingénieur Bac + 5 - Cycle Préparatoire Intégré - Spécialité Généraliste, BTP, Informatique, Systèmes embarqués;Cycle Préparatoire Intégré - Spécialité Généraliste, BTP, Informatique, Systèmes embarqués;36;0;1;9;5;2;1;0;6;50;28;11;6;22;1143
Lycée Jules Ferry;CPGE - TSI;;36;0;0;11;17;10;0;0;0;29;45;26;0;38;403
Université d'Artois - Site de Lens;Licence - Sciences de la vie - Parcours Parcours Préparatoire au Professorat des Ecoles (PPPE);Parcours Préparatoire au Professorat des Ecoles (PPPE);36;0;9;9;9;2;0;0;31;31;31;7;0;36;346
Université de Bretagne Sud - Site de Lorient;Licence - Sciences de la transition écologique et sociétale - Parcours Sciences écologie et société;Sciences écologie et société;36;0;1;4;6;1;0;0;8;33;50;8;0;22;187
Université d'Amiens;Licence - Portail Physique;;36;0;3;7;2;4;0;0;19;44;12;25;0;30;550
I.U.T. de Colmar;BUT - Métiers de la Transition et de l'Efficacité Énergétiques;;36;0;6;6;4;0;0;0;38;38;25;0;0;25;290
Lycée François Arago;BTS - Services - Comptabilité et gestion;;36;0;15;14;9;0;0;0;39;37;24;0;0;41;380
LYCEE POLYVALENT SAINT LOUIS - SITE SAINT STANISLAS;BTS - Services - Management Commercial Opérationnel;;36;0;7;10;1;0;0;0;39;56;6;0;0;24;290
Lycée Edouard Herriot;BTS - Services - Négociation et digitalisation de la Relation Client;;36;0;13;11;4;0;0;0;46;39;14;0;0;36;451
Lycée Chrestien de Troyes;BTS - Services - Management Commercial Opérationnel;;36;0;11;8;3;0;0;0;50;36;14;0;0;26;659
Universite Jean Monnet, Saint-Etienne;Licence - Parcours d'Accès Spécifique Santé (PASS);Biomécanique et Activités Physiques et Sportives;36;0;1;5;15;10;3;0;3;15;44;29;9;36;1784
Facultés libres de l'Ouest - UCO ANGERS;Licence - Arts - Parcours Arts du spectacle;Arts du spectacle;36;0;3;9;3;1;0;0;19;56;19;6;0;20;257
Lycée Monge;BTS - Services - Services informatiques aux organisations;;36;0;11;7;7;3;0;0;39;25;25;11;0;33;332
L.E.G.T.A. Albi - Fonlabour;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;;36;0;10;16;3;0;0;0;34;55;10;0;0;29;376
Université de Franche-Comté - Site de Besançon;Licence - Portail Sciences de la vie;;36;0;11;13;8;4;0;0;31;36;22;11;0;36;1039
Lycée Jean TALON;BTS - Services - Comptabilité et gestion;;36;0;3;8;1;0;0;0;25;67;8;0;0;19;273
Université Toulouse 3 Paul Sabatier;Licence - Portail Electronique, énergie électrique, automatique;;36;0;6;6;7;0;0;0;32;32;37;0;0;30;256
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;36;0;12;15;5;1;0;0;36;45;15;3;0;36;1557
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Portail Humanités;;36;0;9;4;2;0;0;0;60;27;13;0;0;29;304
Lycée Theodore Aubanel;BTS - Services - Comptabilité et gestion;;36;0;7;13;8;1;0;0;24;45;28;3;0;37;588
Lycée Theodore Aubanel;BTS - Services - Négociation et digitalisation de la Relation Client;;36;0;10;10;9;1;0;0;33;33;30;3;0;36;1344
Université de Bretagne Sud - Site de Lorient;"Licence - Sciences de la transition écologique et sociétale - Parcours ""Energie et environnement"" et ""Matériaux et transition écologique""";"""Energie et environnement"" et ""Matériaux et transition écologique""";36;0;1;0;0;0;0;0;100;0;0;0;0;5;115
Université Toulouse 3 Paul Sabatier;Licence - Portail Physique - Physique - L1 Antenne Toulouse;Physique - L1 Antenne Toulouse;36;0;10;4;3;3;0;0;50;20;15;15;0;31;563
Université Toulouse 3 Paul Sabatier;Licence - Portail Chimie;;36;0;2;11;7;6;0;0;8;42;27;23;0;36;900
Lycée Jean Perrin;BTS - Production - Métiers de la chimie;;36;0;7;9;2;0;0;0;39;50;11;0;0;29;628
Lycée Jean Perrin;CPGE - ENS Paris-Saclay D2;ENS Paris-Saclay D2;36;0;0;1;6;3;0;0;0;10;60;30;0;15;496
I.U.T. d'Avignon;BUT - Génie biologique parcours sciences de l'aliment et biotechnologie;;36;0;8;13;10;2;0;0;24;39;30;6;0;37;724
IUT GRAND OUEST NORMANDIE - Pôle de Cherbourg - Site de Cherbourg-en-Cotentin;BUT - Génie industriel et maintenance;;36;0;7;5;4;0;0;0;44;31;25;0;0;16;248
Lycée agricole Aix-Valabre;BTS - Agricole - Gestion et protection de la nature;;36;0;6;10;5;0;0;0;29;48;24;0;0;26;782
Université de Rouen Normandie - Campus Madrillet Saint-Etienne-du-Rouvray;Licence - Portail Licence Mécanique / Licence Physique / Licence Physique-Chimie;Licence Mécanique / Licence Physique / Licence Physique-Chimie;36;0;6;5;2;0;0;0;46;38;15;0;0;29;387
Lycée CADENELLE;BTS - Services - Diététique;;36;0;5;7;3;2;0;0;29;41;18;12;0;35;398
IFSI CH Ardèche Méridionale;D.E Infirmier;;36;0;2;12;5;1;0;0;10;60;25;5;0;35;3926
ES Vichy;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;;36;0;6;7;3;0;0;0;38;44;19;0;0;19;112
Lycée Saint-Marc;BTS - Services - Banque conseiller de clientèle;;36;0;9;4;0;0;0;0;69;31;0;0;0;25;556
Université Toulouse 3 Paul Sabatier;Licence - Portail Physique, chimie;;36;0;7;5;3;4;0;0;37;26;16;21;0;26;746
Université Toulouse 3 Paul Sabatier;C.M.I - Cursus Master en Ingénierie - Double diplôme - Licence Electronique, énergie électrique, automatique - C.M.I - Cursus Master en Ingénierie-Mention EEA;C.M.I - Cursus Master en Ingénierie-Mention EEA;36;0;0;1;4;2;0;0;0;14;57;29;0;14;390
Lycée Juliette Récamier;BTS - Services - Support à l'action managériale;;36;0;7;9;3;0;0;0;37;47;16;0;0;33;1137
Lycée Polyvalent La Chartreuse;Diplôme de Comptabilité et de Gestion;;36;0;2;3;0;0;0;0;40;60;0;0;0;12;130
Lycée Georges Baptiste;BTS - Services - Management en hôtellerie restauration;;36;0;6;5;11;3;0;0;24;20;44;12;0;29;173
Lycée Pierre Bayle;BTS - Services - Management Commercial Opérationnel;;36;0;14;8;0;0;0;0;64;36;0;0;0;27;267
Lycée Jean TALON;Diplôme de Comptabilité et de Gestion;;36;0;3;5;6;2;0;0;19;31;38;12;0;18;301
Lycée Grandmont;BTS - Services - Conseil et commercialisation de solutions techniques;;36;0;14;6;0;0;0;0;70;30;0;0;0;29;447
Lycée Charlie Chaplin;BTS - Services - Gestion de la PME;;36;0;9;10;5;1;0;0;36;40;20;4;0;33;1234
Lycée Lamartine;BTS - Services - Services informatiques aux organisations;;36;0;15;5;5;1;0;0;58;19;19;4;0;35;900
Lycée agricole La Thierache-Fontaine les Vervins;BTS - Agricole - productions animales;;36;0;12;7;2;1;0;0;55;32;9;5;0;25;304
Université Toulouse 3 Paul Sabatier;Diplôme d'Université - PAREO - R2D2 - Rebondir Réfléchir Découvrir Décider;R2D2 - Rebondir Réfléchir Découvrir Décider;36;0;9;3;0;0;0;0;75;25;0;0;0;28;85
Lycée agricole Le Chesnoy-Les Barres;BTS - Agricole - Gestion et protection de la nature;;36;0;7;12;11;3;0;0;21;36;33;9;0;38;641
Lycée Voltaire;BTS - Services - Management Commercial Opérationnel;;36;0;8;12;5;2;0;0;30;44;19;7;0;34;1280
LGT SAINTE MARIE;BTS - Services - Management Commercial Opérationnel;;36;0;10;5;3;0;0;0;56;28;17;0;0;24;381
Université Toulouse 3 Paul Sabatier;Licence - Parcours d'Accès Spécifique Santé (PASS);Gestion appliquée aux SHS;36;0;11;9;8;1;0;0;38;31;28;3;0;34;2793
Lycée Stanislas;CPGE - MPSI;;36;0;0;2;24;12;1;0;0;5;62;31;3;39;801
Université Toulouse 3 Paul Sabatier;Double licence - Mathématiques / Informatique - Mathématiques-Informatique en Double Licence (MIDL);Mathématiques-Informatique en Double Licence (MIDL);36;0;1;4;12;12;2;0;3;13;39;39;6;34;976
ECAM LaSalle;Formation d'ingénieur Bac + 5 - Série générale;Série générale;36;0;0;5;28;7;0;0;0;12;70;18;0;42;1674
Lycée Le Rebours;BTS - Services - Services informatiques aux organisations;;36;0;3;13;8;1;0;0;12;52;32;4;0;36;552
Lycée Le Rebours;BTS - Services - Management Commercial Opérationnel;;36;0;6;15;5;1;0;0;22;56;19;4;0;33;661
ANTENNE DE L'IUT LYON (BOURG EN BRESSE), UNIVERSITE LYON 3;BUT - Carrières juridiques (Seconde année en apprentissage);;36;0;3;15;11;1;0;0;10;50;37;3;0;34;1437
Universite Jean Monnet, Saint-Etienne;Licence - Parcours d'Accès Spécifique Santé (PASS);Géosciences & Environnement - Chimie;36;0;4;17;11;3;0;0;11;49;31;9;0;36;1495
Lycée Sasserno;BTS - Services - Diététique;;36;0;3;4;2;1;0;0;30;40;20;10;0;24;498
Lycée Stanislas;BTS - Services - Management Commercial Opérationnel;;36;0;11;14;5;1;0;0;35;45;16;3;0;34;441
Lycée Le Bon Sauveur;BTS - Services - Tourisme;;36;0;5;3;0;0;0;0;62;38;0;0;0;13;127
Lycée Jules Guesde;BTS - Services - Comptabilité et gestion;;36;0;6;14;6;0;0;0;23;54;23;0;0;34;1205
Lycée Militaire de Saint-Cyr;BTS - Production - Systèmes numériques - Option informatique et réseaux - - Internat obligatoire;#NAME?;36;0;4;13;12;5;0;0;12;38;35;15;0;36;573
I.U.T. La Rochelle;BUT - Réseaux et télécommunications;;36;0;2;19;7;4;0;0;6;59;22;12;0;36;752
Lycée Saint Joseph;BTS - Production - Systèmes numériques - Option informatique et réseaux;;36;0;7;7;5;1;0;0;35;35;25;5;0;28;246
Lycée Saint Luc Cambrai;BTS - Services - Négociation et digitalisation de la Relation Client;;36;0;3;5;2;0;0;0;30;50;20;0;0;11;139
Lycée CADENELLE;BTS - Services - Economie sociale familiale;;36;0;10;6;5;0;0;0;48;29;24;0;0;29;251
Lycée Clos Maire;BTS - Services - Tourisme;;36;0;9;8;4;2;0;0;39;35;17;9;0;27;551
Nantes Université;Licence - Parcours d'Accès Spécifique Santé (PASS);;36;0;2;14;12;1;3;0;6;44;38;3;9;36;2409
Lycée Assomption Bellevue;BTS - Services - Support à l'action managériale;;36;0;9;2;0;0;0;0;82;18;0;0;0;25;315
Lycée Sainte - Marie Lyon;CPGE - Lettres;;36;0;0;2;13;19;1;0;0;6;37;54;3;37;480
Université de Montpellier;Licence - Sciences et technologies - Parcours Parcours Préparatoire au Professorat des Ecoles (PPPE);Parcours Préparatoire au Professorat des Ecoles (PPPE);36;0;8;9;3;0;0;0;40;45;15;0;0;35;303
Lycée CADENELLE;BTS - Services - Comptabilité et gestion;;36;0;7;7;0;0;0;0;50;50;0;0;0;23;294
Lycée Descartes;BTS - Services - Comptabilité et gestion;;36;0;8;7;3;0;0;0;44;39;17;0;0;26;1049
Lycée agricole Viticole De La Champagne;BTS - Agricole - Technico-commercial - Spécialité vins, bières et spiritueux;;36;0;8;0;2;0;0;0;80;0;20;0;0;13;123
Lycée St Michel;BTS - Services - Communication;;36;0;15;8;2;0;0;0;60;32;8;0;0;33;337
Aix-Marseille Université - Site de Marseille Saint Charles;Licence - Sciences et Humanités - Parcours Sciences et Humanités (Site Saint-Charles);Sciences et Humanités (Site Saint-Charles);36;0;3;6;10;5;1;0;12;24;40;20;4;36;271
Lycée Juliette Récamier;BTS - Services - Management Commercial Opérationnel;;36;0;11;12;7;0;0;0;37;40;23;0;0;31;2868
Université Lumière - Lyon 2;Licence - Administration publique;Administration publique - Droit;36;0;5;7;3;1;0;0;31;44;19;6;0;38;302
Lycée polyvalent Sadi Carnot - Jean Bertin;BTS - Services - Management en hôtellerie restauration;;36;0;13;5;7;1;0;0;50;19;27;4;0;27;185
Université d'Amiens;Licence - Portail Sciences de la vie et de la terre;;36;0;7;10;9;2;0;0;25;36;32;7;0;33;1351
Lycée Georges Pompidou/Michel Ange;BTS - Services - Support à l'action managériale (Seconde année en apprentissage);;36;0;10;7;1;0;0;0;56;39;6;0;0;21;638
Lycée professionnel Pasteur;BTS - Services - Service et prestation des secteurs sanitaire et social;;36;0;9;6;5;0;0;0;45;30;25;0;0;20;142
Lycée agricole Auguste Loutreuil;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;;36;0;7;8;1;0;0;0;44;50;6;0;0;16;356
Lycée professionnel Europe;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;;36;0;8;4;2;0;0;0;57;29;14;0;0;21;451
Lycée Guy De Maupassant;BTS - Services - Comptabilité et gestion;;36;0;15;8;1;0;0;0;62;33;4;0;0;30;826
Lycée André Maurois;BTS - Services - Tourisme;;36;0;10;7;2;0;0;0;53;37;11;0;0;29;461
Lycée Privé Polyvalent Roc Fleuri;BTS - Agricole - Développement, animation des territoires ruraux;;36;0;1;4;0;0;0;0;20;80;0;0;0;11;46
Institut agricole de Genech;BTS - Agricole - Aménagements paysagers;;36;0;8;11;5;1;0;0;32;44;20;4;0;30;193
I.U.T. de Mulhouse;BUT - Science et génie des matériaux;;36;0;4;11;4;0;0;0;20;55;20;0;0;33;339
Lycée Saint-Andre;BTS - Services - Economie sociale familiale;;36;0;12;11;2;1;0;0;46;42;8;4;0;35;167
Lycée des Métiers - Lesdiguieres;Mise à niveau - Hôtellerie restauration;;36;0;9;8;6;2;0;0;36;32;24;8;0;32;359
Nantes Université;Licence - Portail Economie et gestion;;36;0;6;14;3;1;0;0;25;58;12;4;0;32;684
Université de La Rochelle;Licence - Physique, chimie;;36;0;4;4;4;0;0;0;33;33;33;0;0;25;530
Université Toulouse 3 Paul Sabatier;Licence - Parcours d'Accès Spécifique Santé (PASS);;36;0;2;9;16;4;1;0;6;28;50;12;3;33;3490
Université de Montpellier;Licence - Sciences de la vie - Parcours Licence - Sciences de la Vie/Sciences de l'environnement (SVSE) option Prépa concours Agro Véto (PCAV);Licence - Sciences de la Vie/Sciences de l'environnement (SVSE) option Prépa concours Agro Véto (PCAV);36;0;0;4;9;8;1;0;0;18;41;36;5;35;1359
Lycée Saint Pierre;BTS - Services - Management Commercial Opérationnel;;36;0;8;8;3;0;0;0;42;42;16;0;0;19;505
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Double licence - Histoire / Philosophie -;;36;0;2;1;3;0;0;0;33;17;50;0;0;16;203
IPAG Business School - Campus de Paris;Formation des écoles de commerce et de management Bac + 3 - Programme Bachelor;Programme Bachelor - Spécialisation International Business Management;36;0;7;2;2;0;0;0;64;18;18;0;0;16;739
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Sciences de l'éducation et de la formation - Parcours Parcours Préparatoire au Professorat des écoles;Parcours Préparatoire au Professorat des écoles;36;0;6;9;15;3;0;0;18;27;45;9;0;36;869
Université de Franche-Comté - Site de Besançon;Licence - Portail Physique, chimie;;36;0;9;8;3;0;0;0;45;40;15;0;0;28;509
Lycée agricole Les Etablières;BTS - Agricole - Agronomie : Productions végétales;;36;0;1;0;1;0;0;0;50;0;50;0;0;5;132
MFREO de Javols;BTS - Agricole - Gestion forestière;;36;0;6;2;0;0;0;0;75;25;0;0;0;10;168
Lycée Sainte-Marie;CPGE - MPSI;;36;0;0;2;2;1;0;0;0;40;40;20;0;6;250
Lycée Colbert;BTS - Services - Négociation et digitalisation de la Relation Client;;36;0;10;16;0;2;0;0;36;57;0;7;0;33;972
Lycée Joliot-Curie - Lycée des Métiers de la relation client et des services administratifs;BTS - Services - Négociation et digitalisation de la Relation Client;;36;0;10;10;0;0;0;0;50;50;0;0;0;29;827
Lycée agricole Viticole De La Champagne;BTS - Agricole - Viticulture-Oenologie;;36;0;8;10;0;0;0;0;44;56;0;0;0;18;228
Lycée Auguste Blanqui;CPGE - Lettres;;36;0;5;3;7;3;0;0;28;17;39;17;0;19;291
Aix Marseille Université - Site d'Aix-en-Provence (3 Schuman);Double licence - Droit / Economie et gestion -;;36;0;0;0;10;6;4;0;0;0;50;30;20;26;1704
Lycée agricole Les Etablières;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;;36;0;6;3;5;0;0;0;43;21;36;0;0;16;116
Lycée Teilhard De Chardin;BTS - Services - Comptabilité et gestion;;36;0;6;3;0;1;0;0;60;30;0;10;0;15;195
Lycée Camille See;BTS - Services - Management Commercial Opérationnel;;36;0;15;8;11;0;0;0;44;24;32;0;0;42;873
Lycée Stanislas (Biotec.Hotellerie);BTS - Services - Management en hôtellerie restauration;;36;0;11;12;6;3;1;0;33;36;18;9;3;35;235
Université Jean Moulin Lyon 3;Licence - Portail Langues, Littératures et Civilisations Etrangères et Régionales Arabe - Cursus 4 ans;Langues, Littératures et Civilisations Etrangères et Régionales Arabe - Cursus 4 ans;36;0;11;2;0;1;0;0;79;14;0;7;0;36;137
Nantes Université;Licence - Parcours d'Accès Spécifique Santé (PASS);;36;0;7;6;4;1;0;0;39;33;22;6;0;35;1035
Lycée Marie France;BTS - Services - Management Commercial Opérationnel;;36;0;8;9;4;0;0;0;38;43;19;0;0;26;320
Lycée Saint-Paul;BTS - Services - Commerce International;;36;0;8;8;5;0;0;0;38;38;24;0;0;34;254
L.E.G.T.A. Albi - Fonlabour;BTS - Agricole - Gestion et maitrise de l'eau;;36;0;5;4;1;0;0;0;50;40;10;0;0;23;319
Lycée Notre-Dame De Bon Secours;BTS - Services - Commerce International;;36;0;9;9;6;1;0;0;36;36;24;4;0;28;393
Lycée Jean-Baptiste Decretot;BTS - Services - Management en hôtellerie restauration;;36;0;5;10;2;0;0;0;28;56;11;0;0;20;81
Université de Rouen Normandie - Campus Mont-Saint-Aignan;Licence - Portail Licence Chimie / Licence Physique-Chimie;Licence Chimie / Licence Physique-Chimie;36;0;7;6;4;0;0;0;41;35;24;0;0;34;710
Université du littoral - Site de Dunkerque;Licence - Mathématiques - Parcours Préparatoire au Professorat des Ecoles;Préparatoire au Professorat des Ecoles;36;0;9;9;7;2;1;0;32;32;25;7;4;36;248
Lycée Jacques Coeur;BTS - Services - Négociation et digitalisation de la Relation Client;;36;0;16;12;4;0;0;0;50;38;12;0;0;34;541
Unité de formation et de recherche sciences médicales Université de Bordeaux;Certificat de capacité d'Orthophoniste;;36;0;0;3;8;5;0;0;0;19;50;31;0;36;1706
Lycée Le Rebours;Diplôme de Comptabilité et de Gestion;;36;0;5;10;6;1;0;0;23;45;27;5;0;26;666
Lycée Marie Curie;BTS - Services - Diététique;;36;0;8;9;3;0;0;0;40;45;15;0;0;33;1272
Université Sorbonne Nouvelle Paris 3;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Anglais - Mineure Lettres;Anglais - Mineure Lettres;36;0;3;9;9;5;0;0;12;35;35;19;0;35;676
Lycée Franklin Roosevelt;BTS - Services - Services informatiques aux organisations;;36;0;10;8;7;2;0;0;37;30;26;7;0;36;812
Lycée Assomption Bellevue;BTS - Services - Commerce International;;36;0;6;8;4;1;0;0;32;42;21;5;0;27;979
Université Angers;Licence - Portail Langues, littératures & civilisations étrangères et régionales - Allemand;Allemand;36;0;0;0;1;0;0;0;0;0;100;0;0;2;40
Lycée Rouvière;CPGE - PTSI;;36;0;1;9;10;5;2;0;4;33;37;19;7;28;508
Nantes Université;Licence - Parcours d'Accès Spécifique Santé (PASS);;36;0;6;5;5;1;0;0;35;29;29;6;0;36;1424
