Etablissement;Filière de formation;Filière de formation très détaillée;Capacité de l’établissement par formation;Dont effectif des admis néo bacheliers sans information sur la mention au bac;Dont effectif des admis néo bacheliers sans mention au bac;Dont effectif des admis néo bacheliers avec mention Assez Bien au bac;Dont effectif des admis néo bacheliers avec mention Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien au bac;Dont effectif des admis néo bacheliers avec mention Très Bien avec félicitations au bac;% d’admis néo bacheliers sans information sur la mention au bac;% d’admis néo bacheliers sans mention au bac;% d’admis néo bacheliers avec mention Assez Bien au bac;% d’admis néo bacheliers avec mention Bien au bac;% d’admis néo bacheliers avec mention Très Bien au bac;% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac;Effectif total des candidats ayant accepté la proposition de l’établissement (admis);Effectif total des candidats pour une formation
Aix-Marseille Université - Site de Marseille Timone;Licence - Parcours d'Accès Spécifique Santé (PASS);SV et STAPS;682;0;3;85;318;231;37;0;0;13;47;34;5;680;5591
Université Clermont Auvergne;Licence - Portail Droit;;680;0;185;168;115;35;1;0;37;33;23;7;0;617;3071
Université de Paris;Licence - Parcours d'Accès Spécifique Santé (PASS);Biologie, Physique, Chimie;680;0;8;61;250;294;36;0;1;9;38;45;6;680;12907
Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12);Licence - Portail Administration et Echanges internationaux;;680;0;215;228;43;5;0;0;44;46;9;1;0;676;5242
Université d'Amiens;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives;;678;0;311;175;49;17;0;0;56;32;9;3;0;676;3358
Université Toulouse 2 Jean Jaurès;Licence - Langues étrangères appliquées - Parcours Affaires Economiques Internationales, Commerce International, Communication Internationale;Affaires Economiques Internationales, Commerce International, Communication Internationale;675;0;191;159;72;22;0;0;43;36;16;5;0;664;3988
Université de Cergy-Pontoise - CY SUP;Licence - Droit;;665;0;206;246;96;17;0;0;36;44;17;3;0;636;3453
Université Paul Valery - Montpellier 3;Licence - Portail Psychologie;;655;0;107;175;102;25;2;0;26;43;25;6;0;678;8846
Université de la Réunion - Le Tampon;Licence - Portail Administration économique et sociale;: Université de la Réunion - Le Tampon;650;0;108;34;12;5;0;0;68;21;8;3;0;280;1478
Université de La Réunion - Saint Denis;Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Anglais;Anglais;650;1;91;86;62;20;0;0;35;33;24;8;0;387;1327
Université Bordeaux Montaigne;Licence - Histoire - Parcours Licence 1 Histoire;Licence 1 Histoire;650;0;136;100;47;8;0;0;47;34;16;3;0;488;2677
Université de Caen Normandie;Licence - Portail Droit;;646;0;177;192;138;56;2;0;31;34;24;10;0;644;2706
Université Paris 1 Panthéon Sorbonne;Licence - Histoire;;630;0;145;188;135;24;2;0;29;38;27;5;0;625;3447
Université de Paris;Licence - Portail Psychologie - Sciences Psychologiques;Sciences Psychologiques;620;0;27;166;168;50;5;0;6;40;40;12;1;607;10620
Université Claude Bernard Lyon 1;Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - Licence STAPS - portail unique;Licence STAPS - portail unique;610;0;224;214;61;12;0;0;44;42;12;2;0;606;6734
Université Paris-Dauphine;Formation valant grade de licence - Sciences des Organisations - Paris - Classique;Sciences des Organisations - Paris - Classique;600;0;0;12;93;398;57;0;0;2;17;71;10;604;10745
Nantes Université;Licence - Droit;;600;0;134;213;129;34;0;0;26;42;25;7;0;576;5263
Université des Antilles - Pôle Guadeloupe;Licence - Portail Droit - Droit- Droit / Métiers de l'ingénierie économique et juridique - Guadeloupe;Droit- Droit / Métiers de l'ingénierie économique et juridique - Guadeloupe;600;0;79;43;35;5;0;0;49;27;22;3;0;233;722
Université d'Amiens;Licence - Parcours d'Accès Spécifique Santé (PASS);SCIENCES;600;0;82;177;197;99;18;0;14;31;34;17;3;607;4161
Université de Toulon;Licence - Portail Droit - Licence de Droit - Campus Toulon Centre Ville;Licence de Droit - Campus Toulon Centre Ville;600;0;175;140;55;5;0;0;47;37;15;1;0;521;2719
Université de Tours;Licence - Droit;;600;0;143;185;162;37;4;0;27;35;31;7;1;594;3456
IESEG School of Management - Lille;Formation des écoles de commerce et de management Bac + 5;Programme Grande Ecole;600;0;57;251;274;90;1;0;8;37;41;13;0;715;5293
